PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
1006	Unknown	515	5.257642	5.453112	5.603951	76.0546	4509.3935546875	12809.986328125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.967401	76.96821:147030 79.95535:7887 80.00997:12797 80.01056:12208 80.9637:13536	
1007	Unknown	515	5.308417	5.453112	5.585113	90.75619	12442.6572265625	43248.8203125	null	[M-H]-	M + 1	isotope of 1167	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	22.64824	90.32227:12269 90.35444:11310 90.35729:11593 90.36544:10965 90.37033:10144 90.37399:11901 90.39682:10675 90.41883:11490 90.42617:12380 90.44208:10754 90.45676:11522 90.45758:12221 90.46166:11179 90.46493:11005 90.46819:10943 90.47186:10951 90.48778:10416 90.48942:11251 90.5131:11030 90.54619:11427 90.547:10214 90.56948:10914 90.57439:10254 90.61856:10130 90.67259:10263 90.69306:11396 90.72625:11062 90.72871:11849 90.77176:11917 90.7894:11036 90.96114:11102 91.00188:11790 91.0093:11807 91.02047:179318 91.03855:41575 92.9266:27566 92.99972:10519 93.03298:55703 94.97917:10874515 94.98072:66766 94.99345:13852	
1008	Unknown	515	5.24728	5.453112	5.519185	92.92661	46994.91015625	228380.6875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	89.2619	92.9266:27566 92.99972:10519 93.03298:55703 94.97917:10874515 94.98072:66766 94.99345:13852 95.97873:336252 96.00781:44692 96.96838:805460 96.97599:178977 96.98344:23763	
1009	Unknown	515	5.328248	5.453112	5.575696	158.4417	4312.00048828125	12249.2451171875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	7.209359	159.06495:14514 160.00844:36692 160.05981:8814 160.948:12512 161.04391:21832	
1010	Unknown	515	5.347829	5.453112	5.547436	182.5544	4232.927734375	12024.6201171875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	7.521912	182.96278:190733 183.01208:10692 184.01366:9063 184.02668:98839 184.05983:11541 184.95928:60379 185.00855:9472 185.15305:13471 187.09612:20827	
1011	Unknown	515	5.328248	5.453112	5.575696	202.2847	4736.61181640625	13455.4521484375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	7.370065	203.01973:15179 203.09143:9860 205.1585:25980	
1012	Unknown	515	5.328248	5.453112	5.575696	221.129	4858.40478515625	13801.43359375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.729971	221.08025:7388 223.03604:37684 224.01961:36828	
1013	Unknown	515	5.357542	5.453112	5.528603	231.9931	35913.11328125	255621.171875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	7.296602	231.99315:17936 235.95245:200095 236.95173:24487	
1014	Unknown	515	5.328248	5.453112	5.575696	235.6665	5158.5654296875	14654.1103515625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	10.3434	235.95245:200095 236.95173:24487 237.12308:125221 237.94911:26049 237.95694:6872 239.13859:10708	
1015	Unknown	515	5.226426	5.453112	5.500332	237.1231	530241.625	5484614	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	56.15464	236.95173:24487 237.12308:125221 237.94911:26049 237.95694:6872 239.13859:10708 241.1182:7456	
1016	Unknown	515	5.308417	5.453112	5.585113	240.666	4895.14208984375	13905.7939453125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	97.90284	241.1182:7456 243.97602:11807 244.98493:9123	
1017	Unknown	515	5.328248	5.453112	5.575696	258.6845	4637.462890625	13173.796875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	92.74926	258.91949:17829 259.11868:7345 262.00653:9099	
1018	Unknown	515	5.328248	5.453112	5.575696	263.5292	4714.5244140625	13392.7080078125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	7.74565	265.14706:11290 266.02511:7393	
1019	Unknown	515	5.328248	5.453112	5.575696	266.0251	6240.57763671875	17727.818359375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.393681	266.02511:7393 268.97459:23856 270.02582:7380	
1020	Unknown	515	5.338081	5.453112	5.547436	267.0094	12020.919921875	43237.84375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	5.135774	268.97459:23856 270.02582:7380	
1021	Unknown	515	5.328248	5.453112	5.575696	270.0847	4373.5224609375	12424.0126953125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.054539	270.02582:7380	
1022	Unknown	515	5.328248	5.453112	5.575696	278.2206	4027.99975585938	11442.474609375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.894251	279.23104:72124 280.23602:15119 281.24718:24197 283.07749:14086	
1023	Unknown	515	5.328248	5.453112	5.575696	280.0826	4605.56591796875	13083.185546875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	7.554138	280.23602:15119 281.24718:24197 283.07749:14086 283.26281:27832 284.26597:14305	
1024	Unknown	515	5.267941	5.453112	5.613378	291.0337	5566.0546875	15811.6787109375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	5.16424	293.97327:20998 295.22671:13561	
1025	Unknown	515	5.338081	5.453112	5.594532	295.0169	4947.20703125	14053.697265625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	5.536893	295.22671:13561 297.24158:11553 299.25782:52201	
1026	Unknown	515	5.328248	5.453112	5.575696	310.2545	4252.17431640625	12079.294921875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	6.509659	313.92957:25021	
1027	Unknown	515	5.328248	5.453112	5.575696	333.5331	4938.845703125	14029.9453125	null	[M-2H]2-	M + 1	isotope of 917	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	6.552999	333.53312:7144 336.89719:11147	
1028	Unknown	515	5.328248	5.453112	5.575696	351.2036	4753.48876953125	13503.3955078125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	6.814247	351.20364:6765	
1029	Unknown	516	5.338081	5.46257	5.585113	75.73124	4971.1826171875	14106.078125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	8.965627	75.73124:8023 76.96855:83812 77.96856:12081 78.91783:9768	
1030	Unknown	516	5.308417	5.46257	5.519185	84.98937	48545.5390625	377907.65625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.474272	84.58837:9360 84.65815:10280 84.69621:10000 84.79204:11566 84.79352:10488 84.79833:10932 84.805:10273 84.85428:10517 84.85799:9537 84.87282:9633 84.87987:10239 84.89248:11325 84.90769:10649 84.93107:9423 84.95892:10570 84.96523:10382 84.97935:9007 84.98975:11268 84.99979:9057 85.00276:14323 85.00834:10188 85.01689:11162 85.02802:45097 85.05705:10257 85.06114:9416 85.06189:10002 85.07528:9415 85.08496:8987 85.08645:10743 85.10618:11053 85.14306:9217 85.15722:11751 85.1643:10965 85.17213:9034 85.20345:10623 85.25196:10963 85.30238:9209 85.31359:13108 85.31434:9738 85.33939:12053 85.34799:9874 85.39175:11762 85.45916:11183 85.48801:11282 85.52326:11040 85.55215:10727 85.55628:11195 85.58406:12896 85.63816:11287 85.66034:10822 85.70096:11601 85.70623:11775 85.71037:11352 85.74877:10732 85.76233:10521 85.85167:11727 85.9472:11815 85.96005:12247 85.96307:12583 85.99786:116426 86.0232:28312 86.06105:11308 87.00716:31247 87.00799:32324 87.01909:14553 87.04364:36638 87.25248:13762 87.41117:14240 87.47749:12252 87.48835:13212 87.49534:12614 87.50155:13897 87.53145:13684 87.55942:13749 87.56875:14120 87.57302:12692 87.62124:14243 87.62396:12352 87.64575:12814 87.64925:13461 87.66949:12723 87.67728:13042 87.70103:12740 87.71934:13613 87.73181:12092 87.73259:12724 87.73649:13354 87.74:12625 87.74857:12581 87.76027:13333 87.76846:12403 87.78523:11823 87.79264:13555 87.79693:13413 87.79771:12638 87.80357:11655 87.80474:11425 87.80669:13036 87.83128:13784 87.83245:11607 87.83323:13166 87.8387:16662 87.8465:15003 87.85236:12201 87.86056:12513 87.86642:11607 87.86916:12299 87.90472:21687 87.92505:11798 87.92739:18472 87.93052:14961 87.93168:35239 87.93482:15560 87.9356:19750 87.93639:18964 87.93717:21404 87.93952:16650 87.94147:11318 87.94382:13147 87.94616:21818 87.94929:15704 87.95673:14616 87.9579:11475 87.96103:13361 87.96377:14160 87.96964:12778 87.97277:14034 87.97394:14311 87.97551:16476 87.97786:15191 87.9806:13930 87.98294:12521 87.98373:11592 87.9849:18487 87.98608:13989 87.98921:25778 87.99351:13506 87.99704:14812 87.9986:12794 87.99939:15999 88.00095:14791 88.00252:20037 88.00369:30916 88.00448:13442 88.00565:19274 88.00722:14046 88.00839:13676 88.00917:27043 88.01107:24054 88.01231:174892 88.01466:18906 88.01573:23255 88.01668:31247 88.01779:16635 88.01896:22971 88.02009:32001 88.0221:20834 88.02337:30092 88.02445:18968 88.02513:17364 88.02601:45882 88.02684:110882 88.02841:82811 88.02964:45862 88.03071:34080 88.0315:61347 88.03267:34282 88.03306:66554 88.03434:100254 88.03551:320124 88.0363:432999 88.03747:765917 88.03757:1391641 88.03893:199684048 88.04041:938301 88.04198:236442 88.04276:205550 88.04403:77552 88.04599:69992 88.04697:58427 88.04915:74074 88.04991:58780 88.0507:74491 88.05148:59437 88.05256:29687 88.05393:23141 88.05501:20276 88.05736:22500 88.05806:33439 88.05932:14484 88.06059:21185 88.06255:28999 88.06402:16548 88.0652:31658 88.06598:158241 88.06912:19129 88.07029:17237 88.07108:15613 88.07186:16871 88.07382:17437 88.075:29116 88.08127:13971 88.08284:12621 88.08362:16845 88.08558:16975 88.08911:22881 88.09264:16760 88.0946:15454 88.09538:15175 88.09774:17623 88.0993:14398 88.10205:13115 88.10558:12988 88.10636:14679 88.11264:12584 88.11539:12693 88.11813:15145 88.11892:14276 88.12716:13112 88.13226:19505 88.13343:13431 88.13697:13047 88.14011:14403 88.14128:20801 88.14207:21477 88.14285:22515 88.14481:13257 88.14599:16523 88.14678:25125 88.14795:11625 88.15031:17208 88.17858:12904 88.2045:14193 88.23948:16196 88.27094:14384 88.27251:13044 88.28116:13582 88.33705:13532 88.35044:12363 88.36147:13282 88.45846:13574 88.48411:14666 88.55323:13554 88.59395:14143 88.61017:13300 89.02265:72023 89.03583:397344 89.03945:17609 89.04105:48107 89.04213:7054164 89.04364:22535 89.04463:51534 89.06965:14633	
