PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
4028	Unknown	645	6.190167	6.369216	6.458413	199.946	9090.271484375	86269.828125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	12.55034	199.95274:2709 200.09328:4204 200.17284:6180 200.94234:4110 201.07546:14819 201.11233:5479 202.07242:6768 202.99652:3790 203.05311:2631 203.05528:14750 203.09154:7208	
4029	Unknown	646	6.120786	6.379095	6.686353	181.9464	17725.896484375	325148.46875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	22.66456	181.94637:7421 182.00866:3409 182.04826:7151 182.07389:5068 182.93037:9191 182.95916:8115 182.96327:1488798 182.96767:10011 182.97001:3006 182.98791:35111 182.99555:3892 183.06689:3128 183.10191:12761 183.13769:3282 183.96652:22344 184.04642:2818 184.06034:8042 184.96044:349252 184.96701:8124 185.04458:6706 185.08035:16713 185.11713:7914 185.15357:14043 185.96359:11594 185.99718:46302 186.07737:20001 186.11259:7849 186.15685:3212	
4030	Unknown	646	6.091045	6.379095	6.478263	253.9236	4119.8681640625	27183.291015625	null	[M-H]-	M + 1	isotope of 4039	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2.68452	253.92363:3707 254.02999:11239 254.08971:2638 254.91289:4607 255.23261:362406 256.2357:45321 257.23921:4633 258.92088:20138	
4031	Unknown	647	6.110897	6.388978	6.626951	319.1143	2161.88696289063	15837.03125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.028727	320.01045:4214 320.99487:2671	
4032	Unknown	648	6.031653	6.398905	6.815511	136.9608	67353.1015625	1331521.75	null	[M-H]-	M + 0	similar chromatogram in higher mz_4033	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	16.37713	136.94123:2958 136.94712:3973 136.9608:13705 137.02338:10050 137.02638:114573 137.03438:24716 137.0456:3255 137.93941:89080 138.01842:14352 138.02592:5191 138.02976:9051 138.06592:17085 138.94025:5351 138.94277:3243 138.96977:6317 138.98637:10173 139.0059:2800 139.0136:12861 139.05003:7283 139.06947:2787 139.93678:8187 139.97435:52726 140.04587:4296 140.07083:6421 140.9163:35563 140.97939:214409 140.98495:47108 141.0181:11801 141.02922:7660 141.05438:12535 141.0908:7224 141.9363:3233	
4033	Unknown	648	6.120786	6.398905	6.557625	278.9203	17718.7890625	239225.453125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	8.76133	278.92034:5572 278.98678:16780 279.23251:158513 280.2361:30377 280.90986:3861 280.983:10011 281.02992:3226 281.24828:41562 282.07235:4736 282.08395:14321 282.25218:6343 283.02968:3294 283.07824:4158 283.264:103648	
4034	Unknown	648	6.150532	6.398905	6.74575	308.0572	39866.22265625	772412.125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	17.24794	308.0572:9162 309.20668:3659 311.0132:3685 311.16934:7941 311.22336:5418 312.99227:47058	
4035	Unknown	648	6.309546	6.398905	6.607122	359.068	1889.06677246094	11390.08984375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.251537	358.88005:2559	
4036	Unknown	649	6.06131	6.40883	6.686353	176.9348	39809.8984375	591546.25	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	5.257349	176.93496:9802 177.0391:12138 177.07696:20125 178.02602:47764 178.06094:4043 178.07101:23411 178.52822:16569 179.03375:3531 179.05506:39360 179.09341:3068 180.04062:2812 180.06554:18098 180.95147:6045 180.98813:20366 181.01325:5191 181.02451:5833 181.07062:63495	
4037	Unknown	649	5.952781	6.40883	6.815511	194.9456	127284.3671875	2587913.25	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	15.66729	194.52687:7218 194.90501:101639 194.93864:6845 194.94565:32778 195.04998:21272 195.90533:14313 196.06199:5432 196.89336:2387 196.92776:2640 196.93759:7278 197.08082:8505 197.11695:3562 197.95703:8099 198.07762:8084 198.9529:12718 198.99872:6564 199.05998:7916 199.07297:3579 199.09728:5085 199.13331:16788 199.1691:42951	
4038	Unknown	649	6.219971	6.40883	6.915335	216.9275	26919.607421875	373259.09375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	8.903823	216.92753:9371 217.02911:3211 217.03442:3431 217.05793:2922 217.07082:5954 217.10761:4096 218.98508:6681 219.17445:46458 220.08308:2946 220.17796:6170 220.93528:2573 221.00094:12657 221.08137:6538	
4039	Unknown	649	6.100972	6.40883	6.666549	252.9236	56915.40234375	1041710.625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.838929	252.92331:13286 253.14389:6804 253.21703:9913 254.02992:9377 254.88247:2347 254.91239:6662 255.09876:6200 255.12292:2743 255.23269:319183 256.06818:5070 256.23579:45684 257.10276:2442 257.23919:3740	
4040	Unknown	649	6.23981	6.40883	6.735847	279.9127	2411.69165039063	24558.7578125	null	[M-H]-	M + 1	isotope of 4033	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.104874	280.23615:29450 280.98298:9986 281.02936:5793 281.10702:2620 281.24839:39033 282.08413:14619 282.25162:5875 283.07739:9052 283.26414:77423 283.98965:17759 284.26737:16536	
4041	Unknown	650	6.081114	6.418728	6.875395	78.9576	1210890.625	23459546	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	39.02258	78.9551:2823 78.9576:338717 78.96517:7646 78.97266:2775 80.01009:15833 80.91514:2411 80.96375:777377 80.96496:4606 80.9736:2861 81.04405:5608 81.04457:8044 82.00442:9642 82.02873:13403 82.03939:9693 82.03983:7891 82.95983:5523 83.02366:1238701 83.025:7190	
4042	Unknown	650	6.031653	6.418728	7.183583	96.96821	20869888	749401536	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	92.79773	96.95895:121788 96.96073:3130 96.96208:4203 96.96299:3183 96.96616:11538 96.96821:4260570 96.9699:37358 96.97171:4900 96.97579:918731 96.97748:7406 96.98111:3327 96.98325:202171 96.99923:3816 97.00285:3633 97.02778:9350 97.03918:39742 97.0645:3498 97.98316:3404 98.02332:97094 98.03458:6288 98.95447:4421 98.96548:111846 98.97264:19772 99.00505:128533 99.00736:16891 99.01856:54261 99.02687:3203 99.04136:6135 99.04386:58656 100.00269:59410 100.03917:19744 100.98424:788740 101.02316:110616 101.03431:6955 101.05948:597164 101.06117:4163	
4043	Unknown	650	6.091045	6.418728	6.865385	118.9504	201266.671875	4546237	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	10.41242	118.91729:3890 118.95035:43825 118.95635:4274 118.99143:7442 118.99774:4958 119.02437:4291 119.03392:19959 119.04762:2962 120.01091:2654 120.04427:6191 120.05581:12522 120.06549:2432 120.99524:6828 121.02824:374764 121.03975:5705 121.05081:15478 121.05665:2480 121.99014:13214 122.02369:15842 122.03197:10979 122.03456:15441 122.90554:7344 122.96614:10775 122.97455:18741 123.01871:6554 123.02049:30784 123.05528:18392 123.90091:11432	
4044	Unknown	650	6.110897	6.418728	6.74575	159.9641	33565.32421875	617950.4375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	13.8375	159.96396:8282 160.0242:303172 160.06045:7086 160.94806:22084 161.00799:5215 161.02785:8812 161.04446:44122 162.06568:4861 162.07743:2510 162.89249:3147 162.95709:11461 162.98127:9740 162.9978:2552 163.01334:2454 163.02371:4628 163.03901:6584 163.06156:19514 163.07555:2980 164.03433:37592 164.03757:9276 164.04629:3053 164.07071:32482	
4045	Unknown	650	6.120786	6.418728	6.666549	175.5669	1181.92529296875	7104.556640625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2.57136	175.0712:3050 176.00133:9400 176.93484:9398 176.95977:4512 176.99689:5254 177.03934:13391 177.07733:5293 178.02631:95922 178.07094:25228 178.52783:11717 178.9764:3357 178.99286:5966 179.03376:6449 179.05496:52049 179.0704:3163 179.07438:3607 180.06552:17066	
